issue_id,bim360_account_id,bim360_project_id,display_id,title,description,type_id,subtype_id,status,assignee_id,assignee_type,due_date,location_id,location_details,linked_document_urn,owner_id,root_cause_id,root_cause_category_id,response,response_by,response_at,opened_by,opened_at,closed_by,closed_at,created_by,created_at,updated_by,updated_at,start_date,deleted_at,snapshot_urn,published
d5317531-3f6d-45aa-bb2b-9b8aa2ca9768,47e894b9-4d04-44b9-8eb6-9564cbd3ade8,b948ffac-73cd-4bff-b80f-a0b930db0a2b,9,Column clash report for version 2,"<a href=""http://localhost:3000/issues/?urn=dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLl9vdUFhVlVGVE55X2xMUTBUMkhpRGc_dmVyc2lvbj0y&id=OTFlMThjMDctMWJhZS00OTQ5LWEwOTMtZTBhNDU1MmJiNDc4LTAwMDI0MjExLCBiMzY3MjcxMC00NzE1LTQyOTgtYTAxMy04Mzg5NjhiMDIxMTYtMDAwMjQzNmYsIGIzNjcyNzEwLTQ3MTUtNDI5OC1hMDEzLTgzODk2OGIwMjExNi0wMDAyNDNlYiwgNjEwZGRiMGEtZjM5Zi00YmQ4LTg3NDctYTgyMzdiZGJiMTJiLTAwMDI0NzkyLCA2MTBkZGIwYS1mMzlmLTRiZDgtODc0Ny1hODIzN2JkYmIxMmItMDAwMjQ4MWMsIDkxZTE4YzA3LTFiYWUtNDk0OS1hMDkzLWUwYTQ1NTJiYjQ3OC0wMDAyNDI5YiwgOTI1YWJhMGQtZjI1NS00NjA1LWFmNmEtOTA0Y2IyNzE5NDE3LTAwMDI0ZTIzLCBjYTU3NjJiNS0wZjQ2LTRhMmYtODU5OS0xZDFhNWRkMTlhODEtMDAwMjRiNDcsIGNhNTc2MmI1LTBmNDYtNGEyZi04NTk5LTFkMWE1ZGQxOWE4MS0wMDAyNGFmNiwgY2E1NzYyYjUtMGY0Ni00YTJmLTg1OTktMWQxYTVkZDE5YTgxLTAwMDI0ZDMyLCBjYTU3NjJiNS0wZjQ2LTRhMmYtODU5OS0xZDFhNWRkMTlhODEtMDAwMjRhYzUsIGNhNTc2MmI1LTBmNDYtNGEyZi04NTk5LTFkMWE1ZGQxOWE4MS0wMDAyNGE4NiwgY2E1NzYyYjUtMGY0Ni00YTJmLTg1OTktMWQxYTVkZDE5YTgxLTAwMDI0OWVkDQo"" target=""_blank"">Click to view issues</a>",798b66f2-0b9a-4d7c-af47-04e53449b518,38079089-6165-41c0-867f-ab7e62f16c78,open,,,,,,urn:adsk.wipprod:dm.lineage:_ouAaVUFTNy_lLQ0T2HiDg,WSXYL6SZ93WF,,,,,,WSXYL6SZ93WF,2020-09-11 12:09:26.720342,,,WSXYL6SZ93WF,2020-09-11 12:09:26.729295,WSXYL6SZ93WF,2020-09-11 12:09:26.729295,,,,
bf172e56-48da-43ec-acb8-7d11bd826e57,47e894b9-4d04-44b9-8eb6-9564cbd3ade8,b948ffac-73cd-4bff-b80f-a0b930db0a2b,6,Column clash report for version 1,"<a href=""http://localhost:3000/issues/?urn=dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLm5mT01KZGlTU3ZpQ28zQ0J1ZkZ4M3c_dmVyc2lvbj0x&id=OTFlMThjMDctMWJhZS00OTQ5LWEwOTMtZTBhNDU1MmJiNDc4LTAwMDI0MjExLCBiMzY3MjcxMC00NzE1LTQyOTgtYTAxMy04Mzg5NjhiMDIxMTYtMDAwMjQzNmYsIGIzNjcyNzEwLTQ3MTUtNDI5OC1hMDEzLTgzODk2OGIwMjExNi0wMDAyNDNlYiwgNjEwZGRiMGEtZjM5Zi00YmQ4LTg3NDctYTgyMzdiZGJiMTJiLTAwMDI0NzkyLCA2MTBkZGIwYS1mMzlmLTRiZDgtODc0Ny1hODIzN2JkYmIxMmItMDAwMjQ4MWMsIDkxZTE4YzA3LTFiYWUtNDk0OS1hMDkzLWUwYTQ1NTJiYjQ3OC0wMDAyNDI5YiwgOTI1YWJhMGQtZjI1NS00NjA1LWFmNmEtOTA0Y2IyNzE5NDE3LTAwMDI0ZTIzLCBjYTU3NjJiNS0wZjQ2LTRhMmYtODU5OS0xZDFhNWRkMTlhODEtMDAwMjRiNDcsIGNhNTc2MmI1LTBmNDYtNGEyZi04NTk5LTFkMWE1ZGQxOWE4MS0wMDAyNGFmNiwgY2E1NzYyYjUtMGY0Ni00YTJmLTg1OTktMWQxYTVkZDE5YTgxLTAwMDI0ZDMyLCBjYTU3NjJiNS0wZjQ2LTRhMmYtODU5OS0xZDFhNWRkMTlhODEtMDAwMjRhYzUsIGNhNTc2MmI1LTBmNDYtNGEyZi04NTk5LTFkMWE1ZGQxOWE4MS0wMDAyNGE4NiwgY2E1NzYyYjUtMGY0Ni00YTJmLTg1OTktMWQxYTVkZDE5YTgxLTAwMDI0OWVkDQo"" target=""_blank"">Click to view issues</a>",798b66f2-0b9a-4d7c-af47-04e53449b518,38079089-6165-41c0-867f-ab7e62f16c78,open,,,,,,urn:adsk.wipprod:dm.lineage:nfOMJdiSSviCo3CBufFx3w,WSXYL6SZ93WF,,,,,,WSXYL6SZ93WF,2020-09-11 11:54:36.632062,,,WSXYL6SZ93WF,2020-09-11 11:54:36.643174,WSXYL6SZ93WF,2020-09-11 11:54:36.643174,,,,
7c0752b0-0810-411e-af12-fe375f586b07,47e894b9-4d04-44b9-8eb6-9564cbd3ade8,b948ffac-73cd-4bff-b80f-a0b930db0a2b,8,Column clash report for version 1,"<a href=""http://localhost:3000/issues/?urn=dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLl9vdUFhVlVGVE55X2xMUTBUMkhpRGc_dmVyc2lvbj0x&id=OTFlMThjMDctMWJhZS00OTQ5LWEwOTMtZTBhNDU1MmJiNDc4LTAwMDI0MjExLCBiMzY3MjcxMC00NzE1LTQyOTgtYTAxMy04Mzg5NjhiMDIxMTYtMDAwMjQzNmYsIGIzNjcyNzEwLTQ3MTUtNDI5OC1hMDEzLTgzODk2OGIwMjExNi0wMDAyNDNlYiwgNjEwZGRiMGEtZjM5Zi00YmQ4LTg3NDctYTgyMzdiZGJiMTJiLTAwMDI0NzkyLCA2MTBkZGIwYS1mMzlmLTRiZDgtODc0Ny1hODIzN2JkYmIxMmItMDAwMjQ4MWMsIDkxZTE4YzA3LTFiYWUtNDk0OS1hMDkzLWUwYTQ1NTJiYjQ3OC0wMDAyNDI5YiwgOTI1YWJhMGQtZjI1NS00NjA1LWFmNmEtOTA0Y2IyNzE5NDE3LTAwMDI0ZTIzLCBjYTU3NjJiNS0wZjQ2LTRhMmYtODU5OS0xZDFhNWRkMTlhODEtMDAwMjRiNDcsIGNhNTc2MmI1LTBmNDYtNGEyZi04NTk5LTFkMWE1ZGQxOWE4MS0wMDAyNGFmNiwgY2E1NzYyYjUtMGY0Ni00YTJmLTg1OTktMWQxYTVkZDE5YTgxLTAwMDI0ZDMyLCBjYTU3NjJiNS0wZjQ2LTRhMmYtODU5OS0xZDFhNWRkMTlhODEtMDAwMjRhYzUsIGNhNTc2MmI1LTBmNDYtNGEyZi04NTk5LTFkMWE1ZGQxOWE4MS0wMDAyNGE4NiwgY2E1NzYyYjUtMGY0Ni00YTJmLTg1OTktMWQxYTVkZDE5YTgxLTAwMDI0OWVkDQo"" target=""_blank"">Click to view issues</a>",798b66f2-0b9a-4d7c-af47-04e53449b518,38079089-6165-41c0-867f-ab7e62f16c78,open,,,,,,urn:adsk.wipprod:dm.lineage:_ouAaVUFTNy_lLQ0T2HiDg,WSXYL6SZ93WF,,,,,,WSXYL6SZ93WF,2020-09-11 11:57:11.787665,,,WSXYL6SZ93WF,2020-09-11 11:57:11.798954,WSXYL6SZ93WF,2020-09-11 11:57:11.798954,,,,
3ae46810-5dbc-4ca1-a6ff-5b2d65b356cb,47e894b9-4d04-44b9-8eb6-9564cbd3ade8,b948ffac-73cd-4bff-b80f-a0b930db0a2b,7,Column clash report for version 2,"<a href=""http://localhost:3000/issues/?urn=dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLjJZNktPTUFrUjNtaVlNQXUtLURiZ1E_dmVyc2lvbj0y&id=OTFlMThjMDctMWJhZS00OTQ5LWEwOTMtZTBhNDU1MmJiNDc4LTAwMDI0MjExLCBiMzY3MjcxMC00NzE1LTQyOTgtYTAxMy04Mzg5NjhiMDIxMTYtMDAwMjQzNmYsIGIzNjcyNzEwLTQ3MTUtNDI5OC1hMDEzLTgzODk2OGIwMjExNi0wMDAyNDNlYiwgNjEwZGRiMGEtZjM5Zi00YmQ4LTg3NDctYTgyMzdiZGJiMTJiLTAwMDI0NzkyLCA2MTBkZGIwYS1mMzlmLTRiZDgtODc0Ny1hODIzN2JkYmIxMmItMDAwMjQ4MWMsIDkxZTE4YzA3LTFiYWUtNDk0OS1hMDkzLWUwYTQ1NTJiYjQ3OC0wMDAyNDI5YiwgOTI1YWJhMGQtZjI1NS00NjA1LWFmNmEtOTA0Y2IyNzE5NDE3LTAwMDI0ZTIzLCBjYTU3NjJiNS0wZjQ2LTRhMmYtODU5OS0xZDFhNWRkMTlhODEtMDAwMjRiNDcsIGNhNTc2MmI1LTBmNDYtNGEyZi04NTk5LTFkMWE1ZGQxOWE4MS0wMDAyNGFmNiwgY2E1NzYyYjUtMGY0Ni00YTJmLTg1OTktMWQxYTVkZDE5YTgxLTAwMDI0ZDMyLCBjYTU3NjJiNS0wZjQ2LTRhMmYtODU5OS0xZDFhNWRkMTlhODEtMDAwMjRhYzUsIGNhNTc2MmI1LTBmNDYtNGEyZi04NTk5LTFkMWE1ZGQxOWE4MS0wMDAyNGE4NiwgY2E1NzYyYjUtMGY0Ni00YTJmLTg1OTktMWQxYTVkZDE5YTgxLTAwMDI0OWVkDQo"" target=""_blank"">Click to view issues</a>",798b66f2-0b9a-4d7c-af47-04e53449b518,38079089-6165-41c0-867f-ab7e62f16c78,open,,,,,,urn:adsk.wipprod:dm.lineage:2Y6KOMAkR3miYMAu--DbgQ,WSXYL6SZ93WF,,,,,,WSXYL6SZ93WF,2020-09-11 11:54:36.672483,,,WSXYL6SZ93WF,2020-09-11 11:54:36.682338,WSXYL6SZ93WF,2020-09-11 11:54:36.682338,,,,
d6324cc9-8c0d-4bc3-84e1-179f3fe2a564,47e894b9-4d04-44b9-8eb6-9564cbd3ade8,b948ffac-73cd-4bff-b80f-a0b930db0a2b,1,Test,this is sample description,798b66f2-0b9a-4d7c-af47-04e53449b518,38079089-6165-41c0-867f-ab7e62f16c78,open,,"",,,,urn:adsk.wipprod:dm.lineage:hDi2SUNpRVWynmlEXpgUsQ,WSXYL6SZ93WF,,,,,,WSXYL6SZ93WF,2020-04-16 08:21:00.116256,,,WSXYL6SZ93WF,2020-04-16 08:21:00.126128,WSXYL6SZ93WF,2020-04-16 08:21:00.126128,,,urn:adsk.objects:os.object:ng-issues-prod-faeb02dc-5212-4065-acf0-44e120b0ada3/75bb12c1-55bf-499d-ac4a-5565e2de8cda,
8b1a16b9-161b-40d1-87ec-ce97bfdac34d,47e894b9-4d04-44b9-8eb6-9564cbd3ade8,b948ffac-73cd-4bff-b80f-a0b930db0a2b,4,Sample Clash Issue,This is some description of issue,53ae118d-a2cf-4485-befd-be86ed0dd561,579d7d7e-dc49-4588-81b9-3b6f3d6af676,open,36947101,role,2020-04-30 00:00:00,,Blue ridge Pune,urn:adsk.wipprod:dm.lineage:Ib_tUh7CTLWSF_6-4zgSIQ,WSXYL6SZ93WF,,,,,,WSXYL6SZ93WF,2020-04-16 09:55:24.433472,,,WSXYL6SZ93WF,2020-04-16 09:55:24.446666,WSXYL6SZ93WF,2020-04-16 09:55:24.446666,,,urn:adsk.objects:os.object:ng-issues-prod-faeb02dc-5212-4065-acf0-44e120b0ada3/ee3fd16f-0342-44e3-b010-275d11c2bb05,
935963da-68aa-46f1-865f-fa38f79520f7,47e894b9-4d04-44b9-8eb6-9564cbd3ade8,b948ffac-73cd-4bff-b80f-a0b930db0a2b,3,This is test issue,This is test issue,798b66f2-0b9a-4d7c-af47-04e53449b518,38079089-6165-41c0-867f-ab7e62f16c78,open,36947101,role,2020-04-30 00:00:00,,Pune,urn:adsk.wipprod:dm.lineage:-d7EnV6FQF20HbevgSa9lA,WSXYL6SZ93WF,80a060d3-4647-4352-bd1d-ca93ff4985bc,369f1b01-8c1a-445f-a5f3-85b1adbb9a14,,,,WSXYL6SZ93WF,2020-04-16 09:04:53.406656,,,WSXYL6SZ93WF,2020-04-16 09:04:53.427934,WSXYL6SZ93WF,2020-04-16 09:04:53.427934,,,urn:adsk.objects:os.object:ng-issues-prod-faeb02dc-5212-4065-acf0-44e120b0ada3/94f721a8-dac2-4f42-bc7a-2f616c02147c,
69e59799-5624-40c9-b203-1270f0659166,47e894b9-4d04-44b9-8eb6-9564cbd3ade8,b948ffac-73cd-4bff-b80f-a0b930db0a2b,5,length,Dimensions are different ,53ae118d-a2cf-4485-befd-be86ed0dd561,4f685955-3717-4b4c-b83d-1c1dcafd3a4e,open,,"",,,Door,urn:adsk.wipprod:dm.lineage:Ib_tUh7CTLWSF_6-4zgSIQ,WSXYL6SZ93WF,,,,,,WSXYL6SZ93WF,2020-04-16 10:27:48.980641,,,WSXYL6SZ93WF,2020-04-16 10:27:48.9915,WSXYL6SZ93WF,2020-04-16 10:27:48.9915,,,urn:adsk.objects:os.object:ng-issues-prod-faeb02dc-5212-4065-acf0-44e120b0ada3/da74e51a-0141-4e05-9861-4327dc59aba1,
0693306c-17bb-4353-9eb4-2a5709ba22cb,47e894b9-4d04-44b9-8eb6-9564cbd3ade8,b948ffac-73cd-4bff-b80f-a0b930db0a2b,2,2,This is another issue description,798b66f2-0b9a-4d7c-af47-04e53449b518,38079089-6165-41c0-867f-ab7e62f16c78,open,,"",,,,urn:adsk.wipprod:dm.lineage:hDi2SUNpRVWynmlEXpgUsQ,WSXYL6SZ93WF,,,,,,WSXYL6SZ93WF,2020-04-16 08:21:37.078813,,,WSXYL6SZ93WF,2020-04-16 08:21:37.088626,WSXYL6SZ93WF,2020-04-16 08:21:37.088626,,,urn:adsk.objects:os.object:ng-issues-prod-faeb02dc-5212-4065-acf0-44e120b0ada3/1ed1a6b3-5c96-4df8-a51d-5ddeeaedf750,
125c6753-d29d-469c-90a6-451b2e425941,47e894b9-4d04-44b9-8eb6-9564cbd3ade8,2718a6b2-416f-4c17-9d2c-07e6567d2b49,1,test,"",fc3b4085-e31e-4a77-b9f9-2216f42eee54,e5b8810f-6c91-4137-80f8-388026221943,open,,"",,,,,WSXYL6SZ93WF,,,,,,WSXYL6SZ93WF,2020-01-28 11:37:59.383152,,,WSXYL6SZ93WF,2020-01-28 11:37:59.395665,WSXYL6SZ93WF,2020-01-28 11:37:59.395665,,,,
2eecf6f6-836d-4709-8e25-99860c41c626,47e894b9-4d04-44b9-8eb6-9564cbd3ade8,8808e0cd-1fff-455d-ab8d-78a1f637d885,1,test,"",48098700-a347-4cbf-a0e0-e7709c3d92b3,beef22db-db55-439f-876e-d46bb6e57228,open,,"",,,,urn:adsk.wipprod:dm.lineage:E38g8hlNTWCyM4ixzrItMg,WSXYL6SZ93WF,,,,,,WSXYL6SZ93WF,2020-03-30 06:46:58.798175,,,WSXYL6SZ93WF,2020-03-30 06:46:58.809667,WSXYL6SZ93WF,2020-03-30 06:47:00.548171,,,urn:adsk.objects:os.object:ng-issues-prod-89d16cf4-108b-4ae7-ac04-0c4a917b2b21/b2eb4a1c-c95c-493c-b7ef-04bcde423de5,
